epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,113.048,0.74045,1.7972,0.3597,0.45108,1.03696,0.62983,0.63158,0.51759,0.20707,0.65607,0.65789,0.5445,0.14792,2.35882,5.4632,0.29641,1.33642,3.07402,0.0016436,0.0016436,0.0016436
29,116.011,0.69755,1.87281,0.35097,0.41609,1.02009,0.6335,0.63158,0.57584,0.21231,0.76049,0.76316,0.717,0.18924,2.37289,5.32226,0.43863,1.44491,3.20252,0.0016304,0.0016304,0.0016304
30,119.027,0.73256,1.77412,0.34732,0.43343,1.01537,0.63155,0.63158,0.52182,0.21754,0.70928,0.71053,0.59114,0.16682,2.28681,5.24589,0.41431,1.54688,2.94918,0.0016172,0.0016172,0.0016172
31,122.007,0.74424,1.7246,0.33884,0.44739,1.02712,0.62469,0.60526,0.4439,0.17477,0.75988,0.73684,0.6872,0.21202,2.39497,4.96318,0.34438,1.5535,3.01877,0.001604,0.001604,0.001604
32,124.96,0.76328,1.84062,0.34014,0.44524,1.01917,0.63148,0.63158,0.53197,0.20281,0.73651,0.73684,0.6385,0.21725,2.43483,5.39623,0.37254,1.53358,3.01451,0.0015908,0.0015908,0.0015908
33,127.924,0.7337,1.66279,0.33308,0.44724,1.00554,0.60437,0.60526,0.54749,0.23524,0.76079,0.76316,0.71043,0.29515,2.33513,4.73979,0.29157,1.46655,2.95481,0.0015776,0.0015776,0.0015776
34,131.012,0.73721,1.49023,0.33668,0.42611,1.01144,0.60368,0.60526,0.53116,0.2056,0.73492,0.73684,0.65945,0.25228,2.4034,4.77735,0.28294,1.6105,3.27119,0.0015644,0.0015644,0.0015644
35,134.128,0.72182,1.44152,0.30044,0.40899,1.0153,0.60467,0.60526,0.52695,0.16354,0.60421,0.60526,0.43594,0.09613,2.54908,4.99868,0.28212,1.65988,3.84784,0.0015512,0.0015512,0.0015512
36,137.166,0.70796,1.47763,0.31308,0.42653,1.02313,0.65636,0.65789,0.54203,0.17992,0.60385,0.60526,0.41405,0.08132,2.43779,4.86341,0.38736,1.36184,3.50939,0.001538,0.001538,0.001538
37,140.284,0.72366,1.45111,0.30453,0.43281,1.02485,0.57711,0.57895,0.36973,0.17168,0.76074,0.76316,0.63217,0.22733,2.36853,4.59249,0.2822,1.515,3.33226,0.0015248,0.0015248,0.0015248
38,143.234,0.68764,1.40812,0.31213,0.40273,0.97402,0.63003,0.63158,0.45974,0.1452,0.76129,0.76316,0.6086,0.22938,2.54095,4.62476,0.25262,1.59777,3.56862,0.0015116,0.0015116,0.0015116
39,146.16,0.65739,1.18798,0.31296,0.39972,0.9917,0.6307,0.63158,0.42962,0.14911,0.76176,0.76316,0.60514,0.21978,2.44843,4.58308,0.31528,1.2926,3.27284,0.0014984,0.0014984,0.0014984
