epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,369.063,0.41005,0.35684,0.19179,0.27432,0.88544,0.65694,0.65789,0.44859,0.15286,0.84089,0.84211,0.74165,0.43135,2.31502,3.34508,0.23225,1.55492,3.71596,0.0005216,0.0005216,0.0005216
114,372.163,0.38983,0.27724,0.20272,0.26197,0.89185,0.65789,0.65789,0.45486,0.16993,0.84211,0.84211,0.745,0.45294,2.30124,3.1882,0.22095,1.59187,3.65321,0.0005084,0.0005084,0.0005084
115,375.442,0.41252,0.28964,0.22482,0.27272,0.88811,0.63158,0.63158,0.42333,0.17645,0.86842,0.86842,0.77158,0.4488,2.31556,3.09172,0.22363,1.52746,3.67706,0.0004952,0.0004952,0.0004952
116,378.644,0.36774,0.31218,0.20734,0.26219,0.87418,0.65789,0.65789,0.45293,0.18855,0.84211,0.84211,0.73897,0.45133,2.27236,3.31555,0.22223,1.57146,3.55469,0.000482,0.000482,0.000482
117,381.781,0.38885,0.31158,0.21539,0.25939,0.87422,0.65789,0.65789,0.50615,0.21104,0.84211,0.84211,0.76283,0.47024,2.34389,3.13411,0.20932,1.40873,3.71605,0.0004688,0.0004688,0.0004688
118,384.862,0.38767,0.2995,0.20993,0.25939,0.88177,0.63066,0.63158,0.43863,0.18091,0.84088,0.84211,0.7564,0.45723,2.29203,3.2915,0.2215,1.45832,3.63674,0.0004556,0.0004556,0.0004556
119,387.847,0.4032,0.31222,0.21114,0.27722,0.88019,0.68323,0.68421,0.50177,0.18173,0.8409,0.84211,0.7691,0.45682,2.32281,3.24989,0.21749,1.63348,3.62716,0.0004424,0.0004424,0.0004424
120,391.117,0.3885,0.27551,0.21474,0.26602,0.89549,0.65703,0.65789,0.45371,0.1822,0.84102,0.84211,0.75116,0.46296,2.28153,3.16581,0.21,1.42149,3.64534,0.0004292,0.0004292,0.0004292
121,394.325,0.39852,0.33673,0.20384,0.26428,0.87636,0.68321,0.68421,0.50684,0.1823,0.84087,0.84211,0.73899,0.45495,2.43818,3.1687,0.21552,1.44379,3.78104,0.000416,0.000416,0.000416
122,397.458,0.38235,0.32365,0.21813,0.26623,0.87748,0.68322,0.68421,0.4932,0.17569,0.84088,0.84211,0.73821,0.45248,2.3685,3.21234,0.21662,1.55593,3.65367,0.0004028,0.0004028,0.0004028
123,400.754,0.3752,0.30076,0.20328,0.25463,0.88113,0.65698,0.65789,0.47901,0.18719,0.84093,0.84211,0.73938,0.45337,2.33042,3.32716,0.21685,1.66096,3.53044,0.0003896,0.0003896,0.0003896
124,404.039,0.36606,0.27018,0.20508,0.25634,0.86279,0.68335,0.68421,0.50932,0.19088,0.86718,0.86842,0.76506,0.45565,2.266,3.31242,0.20649,1.65171,3.4901,0.0003764,0.0003764,0.0003764
125,407.16,0.37682,0.27165,0.19176,0.2517,0.87327,0.68323,0.68421,0.51195,0.19611,0.86718,0.86842,0.7674,0.47041,2.29704,3.4378,0.20861,1.64772,3.50918,0.0003632,0.0003632,0.0003632
126,410.401,0.35002,0.25798,0.18373,0.24251,0.86822,0.65693,0.65789,0.47047,0.18802,0.86718,0.86842,0.76215,0.46638,2.27957,3.40581,0.20821,1.58948,3.48328,0.00035,0.00035,0.00035
127,413.534,0.39725,0.26625,0.21093,0.25861,0.87653,0.68322,0.68421,0.51692,0.19327,0.84089,0.84211,0.74263,0.46195,2.34024,3.38314,0.20835,1.55902,3.5979,0.0003368,0.0003368,0.0003368
128,416.663,0.37538,0.32849,0.1935,0.25361,0.86926,0.65694,0.65789,0.47722,0.19073,0.86717,0.86842,0.77005,0.47843,2.28156,3.48053,0.22684,1.58646,3.5291,0.0003236,0.0003236,0.0003236
129,419.799,0.3473,0.24538,0.19861,0.24404,0.88054,0.657,0.65789,0.47632,0.19571,0.84089,0.84211,0.73609,0.46909,2.32398,3.40784,0.21943,1.61495,3.58139,0.0003104,0.0003104,0.0003104
130,422.926,0.34622,0.35178,0.19979,0.25177,0.85867,0.65789,0.65789,0.46454,0.1648,0.86842,0.86842,0.75118,0.46633,2.30963,3.24572,0.20495,1.68938,3.53815,0.0002972,0.0002972,0.0002972
131,426.076,0.34951,0.28139,0.19364,0.24089,0.86792,0.65789,0.65789,0.45068,0.16277,0.86842,0.86842,0.75447,0.45547,2.34989,3.17239,0.20797,1.65717,3.65412,0.000284,0.000284,0.000284
132,429.377,0.34747,0.28095,0.19664,0.24088,0.87778,0.65789,0.65789,0.46053,0.16386,0.86842,0.86842,0.7601,0.46021,2.32092,3.26041,0.20291,1.63133,3.63453,0.0002708,0.0002708,0.0002708
133,432.479,0.35385,0.28118,0.19956,0.25165,0.86947,0.65789,0.65789,0.45657,0.169,0.86842,0.86842,0.76212,0.45783,2.31276,3.41204,0.21038,1.72577,3.58765,0.0002576,0.0002576,0.0002576
134,435.516,0.35455,0.29029,0.21162,0.25429,0.87751,0.68322,0.68421,0.49663,0.17899,0.86719,0.86842,0.76528,0.45865,2.31415,3.18764,0.2138,1.69978,3.54294,0.0002444,0.0002444,0.0002444
135,438.614,0.33431,0.32984,0.19046,0.2357,0.86448,0.65695,0.65789,0.46837,0.18078,0.86718,0.86842,0.76578,0.47169,2.26511,3.44459,0.21062,1.7171,3.51438,0.0002312,0.0002312,0.0002312
136,441.766,0.35125,0.31679,0.20352,0.24224,0.86909,0.65696,0.65789,0.48888,0.1898,0.86718,0.86842,0.75896,0.47545,2.30714,3.38244,0.21192,1.75936,3.55977,0.000218,0.000218,0.000218
137,444.816,0.33948,0.27567,0.19748,0.23893,0.85912,0.65696,0.65789,0.47341,0.19056,0.86719,0.86842,0.77687,0.47806,2.31584,3.17887,0.21097,1.70801,3.5455,0.0002048,0.0002048,0.0002048
138,447.938,0.35151,0.26258,0.18693,0.24782,0.87978,0.65789,0.65789,0.49059,0.20667,0.86842,0.86842,0.7924,0.48102,2.31084,3.50996,0.21553,1.70875,3.50526,0.0001916,0.0001916,0.0001916
139,451.13,0.34223,0.25397,0.19334,0.24007,0.86046,0.65789,0.65789,0.46933,0.19699,0.86842,0.86842,0.79886,0.47581,2.26954,3.51866,0.21786,1.63746,3.47741,0.0001784,0.0001784,0.0001784
140,454.243,0.33717,0.25136,0.19059,0.23879,0.86692,0.65789,0.65789,0.47378,0.19258,0.86842,0.86842,0.79061,0.4758,2.22762,3.53126,0.22292,1.62606,3.44277,0.0001652,0.0001652,0.0001652
141,470.002,0.31551,0.17432,0.20564,0.23935,0.79253,0.65699,0.65789,0.47848,0.19652,0.89346,0.89474,0.8295,0.48798,2.27345,3.55363,0.21916,1.71412,3.49769,0.000152,0.000152,0.000152
142,472.903,0.31069,0.1534,0.22608,0.24233,0.79213,0.65693,0.65789,0.46575,0.18828,0.86717,0.86842,0.78908,0.46318,2.27958,3.61051,0.21852,1.7132,3.51526,0.0001388,0.0001388,0.0001388
143,475.826,0.29921,0.16222,0.19355,0.23685,0.78049,0.65692,0.65789,0.4706,0.19112,0.86714,0.86842,0.78554,0.46225,2.30215,3.62111,0.22133,1.75351,3.53768,0.0001256,0.0001256,0.0001256
144,478.723,0.29233,0.15236,0.19147,0.23306,0.79821,0.65694,0.65789,0.47371,0.18985,0.84088,0.84211,0.74193,0.46409,2.32528,3.53825,0.2226,1.75065,3.59385,0.0001124,0.0001124,0.0001124
145,481.932,0.28128,0.14622,0.18763,0.2253,0.77404,0.65697,0.65789,0.48195,0.19478,0.84088,0.84211,0.75049,0.46426,2.3483,3.45943,0.2157,1.80905,3.58616,9.92e-05,9.92e-05,9.92e-05
146,485.195,0.27907,0.14384,0.19574,0.22063,0.77766,0.65724,0.65789,0.50739,0.204,0.8409,0.84211,0.76314,0.48573,2.32246,3.48126,0.21244,1.80213,3.56463,8.6e-05,8.6e-05,8.6e-05
147,488.426,0.27049,0.14986,0.16769,0.22236,0.77331,0.63097,0.63158,0.47629,0.19384,0.8409,0.84211,0.76669,0.48656,2.34357,3.46615,0.2071,1.76828,3.62512,7.28e-05,7.28e-05,7.28e-05
148,491.605,0.27965,0.13934,0.18893,0.22062,0.77752,0.65729,0.65789,0.52159,0.19887,0.84089,0.84211,0.76124,0.48579,2.34578,3.48391,0.20587,1.77398,3.639,5.96e-05,5.96e-05,5.96e-05
149,494.952,0.26084,0.13943,0.16648,0.20884,0.78404,0.631,0.63158,0.46408,0.1914,0.84089,0.84211,0.75849,0.47995,2.31461,3.45527,0.20591,1.81387,3.57345,4.64e-05,4.64e-05,4.64e-05
150,498.014,0.26723,0.12602,0.17131,0.21015,0.78372,0.63097,0.63158,0.45594,0.19133,0.8409,0.84211,0.75849,0.4783,2.31076,3.47093,0.20707,1.82014,3.56996,3.32e-05,3.32e-05,3.32e-05
